Address,Latitude,Longitude
Starbucks Coffee - San Francisco International Airport,37.6173362,-122.383601
Starbucks Coffee - 789 Mission Street,37.78446,-122.40385
Starbucks Coffee - 2675 Geary Blvd,37.782074,-122.44708
Starbucks Coffee - 201 Powell Street,37.7891352,-122.408457
Starbucks Coffee - 3595 California St.,37.786261,-122.453194
Starbucks Coffee - 555 California St,37.792183,-122.40377
Starbucks Coffee - 565 Clay Street,37.794632,-122.402728
Starbucks Coffee - 1298 Howard Street,31.9803448,-81.1649908
Starbucks Coffee - Terminal 2 San Francisco International A,37.6173362,-122.383601
Starbucks Coffee - 52 California Street,37.793771,-122.39713
Starbucks Coffee - 1800 Irving Street,37.763689,-122.477411
"Starbucks Coffee - 865 Market Street, San Francisco Centre",37.7841145,-122.4076503
Starbucks Coffee - SFO,37.6173362,-122.383601
Starbucks Coffee - 333 Market Street,37.7919802,-122.3975986
"Starbucks Coffee - 201 Spear Street, Suite 100",37.791311,-122.392268
Starbucks Coffee - 689 Townsend,37.770242,-122.403458
Starbucks Coffee - 490 Brannan Street,37.77867,-122.396701
Starbucks Coffee - 44 Montgomery Street,37.7896145,-122.4020038
Starbucks Coffee - 350 Rhode Island,37.765822,-122.403488
Starbucks Coffee - 120 4th Street,37.784166,-122.404159
Starbucks Coffee - 1899 Union Street,37.797644,-122.430395
Starbucks Coffee - 499 Bay Street,37.805335,-122.415114
Starbucks Coffee - 3995 24th Street,37.751341,-122.431709
Starbucks Coffee - 744 Irving Street,37.764205,-122.466024
Starbucks Coffee - 1231 Market Street,37.778262,-122.415038
Starbucks Coffee - 4094 18th Street,37.761019,-122.434666
Starbucks Coffee - 462 Powell Street,37.7891352,-122.408457
Starbucks Coffee - 100 West Portal,37.7397006,-122.4673391
Starbucks Coffee - 222 Mason St,37.786145,-122.409094
Starbucks Coffee - 390 Stockton Street,37.789348,-122.406831
Starbucks Coffee - 505 Sansome Street,37.802887,-122.402977
Starbucks Coffee - 343 Sansome,37.793615,-122.401428
Starbucks Coffee - 123 Mission Street,37.791998,-122.394489
Starbucks Coffee - 1 Market Plaza,37.793634,-122.394545
Starbucks Coffee - 425 Battery Street,37.795104,-122.400508
"Starbucks Coffee - 455 Market Street, Suite 100",37.791134,-122.39875
