Address,Latitude,Longitude
Dolores St & 19th St San Francisco CA 94114 アメリカ合衆国,37.7598248,-122.426019
Steiner St & Hayes Street San Francisco CA 94117 アメリカ合衆国,37.7756359,-122.4328684
Gough St & Washington St San Francisco CA 94109 アメリカ合衆国,37.7926498,-122.4261762
Long Bridge Street & China Basin St San Francisco CA 94158 アメリカ合衆国,37.7717712,-122.3936375
Roosevelt Way & Museum Way San Francisco CA 94114 アメリカ合衆国,37.7652816,-122.4412377
Filbert St & Stockton Street San Francisco CA 94133 アメリカ合衆国,37.8013784,-122.4093961
Jackson St. & Steiner St San Francisco CA 94115 アメリカ合衆国,37.7922647,-122.4362258
1 Telegraph Hill Blvd San Francisco CA 94133 アメリカ合衆国,37.802374,-122.4058178
1705 14th Ave San Francisco CA 94122 アメリカ合衆国,37.756274,-122.471279
The Embarcadero & Folsom St San Francisco CA 94105 アメリカ合衆国,37.7909325,-122.3899464
625 Holly Park Cir San Francisco CA 94110 アメリカ合衆国,37.7370794,-122.4214858
Buena Vista & Haight Street San Francisco CA 94117 アメリカ合衆国,37.7708518,-122.4403874
3400-3416 Folsom St San Francisco CA 94110 アメリカ合衆国,37.7432487,-122.4146591
100 John F Shelley Dr San Francisco CA 94134 アメリカ合衆国,37.7192874,-122.4183155
Elk St and Chenery St San Francisco CA 94127 アメリカ合衆国,37.7358886,-122.439737
3200 Folsom St San Francisco CA 94110 アメリカ合衆国,37.7470729,-122.4120459
