SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-17-2019,Condo/Co-op,1828 Eddy St #201,San Francisco,CA,94115,865000,1,1.5,Western Addition,672,,2000,381,1287,488,Sold,,,http://www.redfin.com/CA/San-Francisco/1828-Eddy-St-94115/unit-201/home/1641166,San Francisco MLS,489808,N,Y,37.780929,-122.438483
PAST SALE,November-7-2019,Condo/Co-op,138 28th St #4,San Francisco,CA,94131,905000,1,1,San Francisco County,613,2849,1950,360,1476,130,Sold,,,http://www.redfin.com/CA/San-Francisco/138-28th-St-94131/unit-4/home/22043156,BAREIS,21925423,N,Y,37.7456186,-122.425539
PAST SALE,April-1-2019,Condo/Co-op,2211 California St #407,San Francisco,CA,94115,779000,1,1,Pacific Heights,615,,1911,580,1267,599,Sold,,,http://www.redfin.com/CA/San-Francisco/2211-California-St-94115/unit-407/home/1838422,San Francisco MLS,480013,N,Y,37.7889605,-122.430971
PAST SALE,June-25-2019,Condo/Co-op,444 Francisco St #301,San Francisco,CA,94133,841000,1,1,North Beach,611,,1981,495,1376,585,Sold,,,http://www.redfin.com/CA/San-Francisco/444-Francisco-St-94133/unit-301/home/1028358,San Francisco MLS,485508,N,Y,37.804975,-122.4125495
PAST SALE,September-24-2020,Condo/Co-op,2298 Green St #3,San Francisco,CA,94123,790000,1,1,Pacific Heights,680,,1909,38,1162,536,Sold,,,http://www.redfin.com/CA/San-Francisco/2298-Green-St-94123/unit-3/home/102820155,San Francisco MLS,500712,N,Y,37.796204,-122.436787
PAST SALE,March-19-2020,Condo/Co-op,900 Bush St #509,San Francisco,CA,94109,659000,1,1,Downtown,633,,1982,227,1041,1007,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-509/home/1208620,San Francisco MLS,494599,N,Y,37.7899451,-122.4127266
PAST SALE,July-19-2019,Condo/Co-op,630 Mason St #403,San Francisco,CA,94108,715000,1,1,Downtown,750,,1927,471,953,550,Sold,,,http://www.redfin.com/CA/San-Francisco/630-Mason-St-94108/unit-403/home/12392945,San Francisco MLS,485898,N,Y,37.7894484,-122.4100541
PAST SALE,March-22-2019,Condo/Co-op,2311 Scott St #4,San Francisco,CA,94115,950000,1,1,Pacific Heights,735,,1965,590,1293,335,Sold,,,http://www.redfin.com/CA/San-Francisco/2311-Scott-St-94115/unit-4/home/11743041,San Francisco MLS,479588,N,Y,37.7913686,-122.439706
PAST SALE,September-8-2020,Condo/Co-op,2 Mint Plz #306,San Francisco,CA,94103,660000,1,1,South of Market,674,,1926,54,979,774,Sold,,,http://www.redfin.com/CA/San-Francisco/2-Mint-Plz-94103/unit-306/home/17304424,San Francisco MLS,498706,N,Y,37.7831725,-122.407689
PAST SALE,,Condo/Co-op,1450 Post St #717,San Francisco,CA,94109,408500,,,,,,1992,,,,,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-717/home/1277790,,,N,Y,37.7863611,-122.4258311
PAST SALE,March-2-2020,Condo/Co-op,220 Lombard St #219,SAN FRANCISCO,CA,94111,640000,1,1,SAN FRANCISCO,709,50188,1992,244,903,867,Sold,,,http://www.redfin.com/CA/San-Francisco/220-Lombard-St-94111/unit-219/home/542217,MLSListings,ML81765039,N,Y,37.8042439,-122.4055041
PAST SALE,,Single Family Residential,139 Sweeny St,San Francisco,CA,94134,850000,5,5,,,1875,1900,,,,,,,http://www.redfin.com/CA/San-Francisco/139-Sweeny-St-94134/home/1874636,,,N,Y,37.7327372,-122.4081343
PAST SALE,November-15-2018,Condo/Co-op,1450 Post St #817,San Francisco,CA,94109,235000,1,1,Lower Pacific Height,544,,1992,717,432,4586,Sold,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-817/home/1731437,San Francisco MLS,459036,N,Y,37.7863611,-122.4258311
PAST SALE,February-20-2020,Single Family Residential,208 Winfield St,San Francisco,CA,94110,1200000,1,1,Bernal Heights,720,1746,1910,255,1667,,Sold,,,http://www.redfin.com/CA/San-Francisco/208-Winfield-St-94110/home/1379132,San Francisco MLS,494555,N,Y,37.741857,-122.4192404
PAST SALE,December-3-2019,Condo/Co-op,758 Haight St #2,SAN FRANCISCO,CA,94117,850000,1,1,SAN FRANCISCO,665,,1900,334,1278,286,Sold,,,http://www.redfin.com/CA/San-Francisco/758-Haight-St-94117/unit-2/home/114068738,MLSListings,ML81771521,N,Y,37.771855,-122.434677
PAST SALE,,Condo/Co-op,146 Portola Dr #301,San Francisco,CA,94131,675000,,9,,,,1963,,,,,,,http://www.redfin.com/CA/San-Francisco/146-Portola-Dr-94131/unit-301/home/1525951,,,N,Y,37.748677,-122.4443131
PAST SALE,November-27-2018,Condo/Co-op,3336 San Bruno Ave #201,San Francisco,CA,94134,550000,1,1,Visitacion Valley,712,,1980,705,772,220,Sold,,,http://www.redfin.com/CA/San-Francisco/3336-San-Bruno-Ave-94134/unit-201/home/782392,San Francisco MLS,476424,N,Y,37.7195004,-122.4007919
PAST SALE,September-16-2020,Condo/Co-op,355 Buena Vista Ave #313,San Francisco,CA,94117,795000,1,1,Buena Vista Park,625,,1986,46,1272,764,Sold,,,http://www.redfin.com/CA/San-Francisco/355-Buena-Vista-Ave-E-94117/unit-313/home/944189,San Francisco MLS,503491,N,Y,37.7675587,-122.440072
PAST SALE,October-23-2019,Condo/Co-op,172 Langton St,San Francisco,CA,94103,710000,1,1,South of Market,620,,1907,375,1145,261,Sold,,,http://www.redfin.com/CA/San-Francisco/172-Langton-St-94103/home/167306704,San Francisco MLS,489805,N,Y,37.775364,-122.4074377
PAST SALE,,Condo/Co-op,1655 Chestnut St #104,San Francisco,CA,94123,750000,,1,,,,1980,,,,,,,http://www.redfin.com/CA/San-Francisco/1655-Chestnut-St-94123/unit-104/home/560095,,,N,Y,37.8012584,-122.4305183
PAST SALE,May-22-2019,Condo/Co-op,2336 Jones Unit A,San Francisco,CA,94133,855000,1,1,Russian Hill,504,,1908,529,1696,272,Sold,,,http://www.redfin.com/CA/San-Francisco/2336-Jones-St-94133/unit-A/home/161552318,San Francisco MLS,483329,N,Y,37.8029975,-122.416336
PAST SALE,June-1-2020,Condo/Co-op,111 Chestnut St #212,San Francisco,CA,94111,650000,1,1,North Waterfront,622,,1993,153,1045,845,Sold,,,http://www.redfin.com/CA/San-Francisco/111-Chestnut-St-94111/unit-212/home/1126168,San Francisco MLS,494359,N,Y,37.8042439,-122.4055041
PAST SALE,May-27-2020,Condo/Co-op,733 Chestnut St #2,San Francisco,CA,94133,800000,1,1,Russian Hill,650,,1958,158,1231,284,Sold,,,http://www.redfin.com/CA/San-Francisco/733-Chestnut-St-94133/unit-2/home/21912674,San Francisco MLS,496661,N,Y,37.803196,-122.415448
PAST SALE,April-11-2019,Condo/Co-op,900 Bush St #1203,San Francisco,CA,94109,725000,1,1,Downtown,606,,1982,570,1196,992,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-1203/home/1498239,San Francisco MLS,481399,N,Y,37.7899069,-122.4123875
PAST SALE,July-12-2019,Condo/Co-op,1001 Pine St #103,San Francisco,CA,94109,960000,1,1,Downtown,616,,1963,478,1558,507,Sold,,,http://www.redfin.com/CA/San-Francisco/1001-Pine-St-94109/unit-103/home/1561417,San Francisco MLS,486295,N,Y,37.7903477,-122.4125675
PAST SALE,July-10-2019,Condo/Co-op,900 Bush St #519,San Francisco,CA,94109,705000,1,1,Downtown,686,,1982,480,1028,1033,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-519/home/1483052,San Francisco MLS,485576,N,Y,37.7899451,-122.4127266
PAST SALE,December-7-2018,Condo/Co-op,355 Buena Vista Ave #211,San Francisco,CA,94117,725000,1,1,Buena Vista Park,620,,1986,695,1169,714,Sold,,,http://www.redfin.com/CA/San-Francisco/355-Buena-Vista-Ave-E-94117/unit-211/home/2033997,San Francisco MLS,478604,N,Y,37.7675587,-122.440072
PAST SALE,May-20-2019,Condo/Co-op,351 Buena Vista Ave Unit 505E,San Francisco,CA,94117,798000,1,1,Buena Vista Park,722,,1987,531,1105,734,Sold,,,http://www.redfin.com/CA/San-Francisco/351-Buena-Vista-Ave-E-94117/unit-505E/home/102814372,San Francisco MLS,483556,N,Y,37.7675387,-122.4401564
PAST SALE,July-17-2020,Condo/Co-op,1440 Broadway #304,San Francisco,CA,94109,800000,1,1,Nob Hill,685,,1982,107,1168,677,Sold,,,http://www.redfin.com/CA/San-Francisco/1440-Broadway-94109/unit-304/home/1987159,San Francisco MLS,500333,N,Y,37.7963851,-122.4207265
