Zip Code,Unemployment rate,% in poverty,vacant units,Median Home Value,Population Density Per Acre,Per Capita Income
"94,114",4.0,5.5,7.5,"920,605.5",38.8,"92,665.5"
"94,112",8.7,10.0,3.3,"645,777.3",41.2,"29,017.3"
"94,131",4.5,6.0,5.0,"920,189.5",18.4,"68,159.0"
"94,117",4.0,7.0,7.5,"941,581.5",44.5,"89,901.5"
"94,102",6.5,21.5,9.5,"657,425.0",85.2,"44,578.0"
"94,122",5.0,9.5,4.5,"869,917.0",31.0,"52,781.5"
"94,115",5.0,14.3,9.3,"703,234.0",51.4,"73,919.0"
"94,121",6.3,6.7,12.3,"833,355.3",19.5,"68,718.7"
"94,134",18.0,24.0,5.0,"624,937.0",24.8,"18,164.5"
"94,103",6.0,20.5,10.5,"774,913.5",41.3,"53,699.0"
"94,158",5.5,9.0,6.5,"817,139.0",19.6,"77,404.0"
"94,109",4.0,11.5,11.5,"747,781.0",76.7,"75,238.5"
"94,129",3.0,6.0,6.5,"913,846.0",17.9,"87,742.0"
"94,116",4.0,6.0,5.0,"927,384.0",19.5,"67,869.0"
"94,107",7.0,9.0,3.0,"653,611.0",31.1,"29,659.0"
"94,133",7.0,16.0,12.0,"806,903.0",39.4,"60,254.0"
"94,123",8.0,10.0,6.0,"904,561.0",48.7,"50,860.0"
"94,132",16.0,28.0,5.0,"681,159.0",7.8,"22,570.0"
"94,118",6.0,13.0,4.0,"839,002.0",47.2,"56,925.0"
"94,104",5.0,9.0,20.0,"681,493.0",24.3,"114,083.0"
"94,108",7.0,27.0,8.0,"846,774.0",103.1,"24,653.0"
"94,124",12.0,19.0,6.0,"566,355.0",11.4,"24,817.0"
"94,110",7.0,9.0,7.0,"838,307.0",37.9,"53,243.0"
